codigo,descricao,natureza_padrao,ativo
0704,DEPÓSITO/SAQUE AVULSO,AMBOS,1
0705,TRANSF. E/OU DEPÓSITO DA APLB - LAMARÃO,ENTRADA,1
0706,IMPOSTO SINDICAL,ENTRADA,1
0707,TRANSF. E/OU DEPÓSITO DA APLB - ESTADUAL,ENTRADA,1
0708,TRANSF. E/OU DEPÓSITO DA APLB - BIRITINGA,ENTRADA,1
0709,TAXA DE MANUTENÇÃO DO ESPAÇO DE EVENTOS (CTR),ENTRADA,1
0710,TRANSF. E/OU DEPÓSITO DA APLB - SERRINHA,ENTRADA,1
0711,TRANSF. E/OU DEPÓSITO DA APLB - TUCANO,ENTRADA,1
0712,TRANSF. E/OU DEPÓSITO DA APLB - REGIONAL,ENTRADA,1
0713,TRANSFERENCIA E/OU DEPÓSITO DO BANCO SICOB,ENTRADA,1
0714,MANUTENÇÃO DE EQUIPAMENTO DO ESPAÇO DE EVENTOS (CTR),SAIDA,1
0801,SUPRIMENTO DE CAIXA,AMBOS,1
0802,RESSARC. DA GRATIF. DE DESLOCAMENTO,SAIDA,1
0803,PLANOS DE SAÚDE E ODONTOLÓGICO,SAIDA,1
0804,DEVOLUÇÃO DE COBRANÇA INDEVIDA DE PLANO DE SAÚDE E ODONTOLÓGICO,SAIDA,1
0805,RESSARC. DE DESPESAS DA GESTÃO ANTERIOR,SAIDA,1
0806,DEVOLUÇÃO DA CONTRIBUIÇÃO SINDICAL,SAIDA,1
0807,REPASSE AO NUC. LAMARÃO DA TRANSF. DA CONTRIBUIÇÃO SINDICAL,SAIDA,1
0808,REPASSE AO NUC. BIRITINGA DA TRANSF. DA CONTRIBUIÇÃO SINDICAL,SAIDA,1
0809,REPASSE AO NUC. SERRINHA DA TRANSF. DA CONTRIBUIÇÃO SINDICAL,SAIDA,1
0810,REPASSE AO NUC. TUCANO DA TRANSF. DA CONTRIBUIÇÃO SINDICAL,SAIDA,1
0811,SEM DESCRIÇÃO NO DOCUMENTO-FONTE DE CÓDIGOS,,1
0812,ESTORNO BANCÁRIO,AMBOS,1
0813,Estorno Bancário de Pag. Indevido Plano Saude,AMBOS,1
0820,DESP. ESCRITÓRIO DE CONTABILIDADE,SAIDA,1
0821,DESP. COM CURSO IF BAIANO,SAIDA,1
0900,MATERIAIS DE CONSTRUÇÃO PARA SEDE DA APLB,SAIDA,1
0901,PRESTAÇ. SERV. NA REFORMA E AMPLIAÇÃO DA SEDE DA APLB,SAIDA,1
0902,EQUIP. E UTENSÍLIOS P/ A COZINHA INDUSTRIAL,SAIDA,1
0903,COMPRA DE IMÓVEL,SAIDA,1
0904,MAT. PERMANENTE - BENS/CONSUMO DURÁVEIS PARA SEDE DA APLB,SAIDA,1
0905,MAT. E BENS DE CONSUMO DURÁVEIS PARA O TERRENO,SAIDA,1
0906,PRESTAÇ. DE SERV. PARA CONSTRUÇÃO DO CTR,SAIDA,1
0907,ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA CONSTRUÇÃO DO CTR,SAIDA,1
0908,MATERIAL DE CONSTRUÇÃO PARA A CONSTRUÇÃO DO CTR,SAIDA,1
0909,COELBA - TERRENO - CTR,SAIDA,1
0910,EMBASA - TERRENO - CTR,SAIDA,1
0911,INTERNET - TERRENO -CTR,SAIDA,1
0912,DESP. COM DOCUMENTAÇÃO DO CTR,SAIDA,1
0913,ÁGUA MINERAL,SAIDA,1
0914,MATERIAIS DE LIMPEZA PARA O CTR,SAIDA,1
0915,MATERIAIS DIVERSOS PARA O CTR/RAÇÃO P/ CÃES/MEDICAMENTO/VENENO P/ INSETOS,SAIDA,1
0916,PRESTAÇÃO DE SERVIÇOS DIVERSOS NO TERRENO CTR,SAIDA,1
0917,GÊNEROS ALIMENTÍCIOS PARA O CTR,SAIDA,1
0918,DESP. COM DOCUMENTAÇÃO TRABALHISTA,SAIDA,1
0919,DESP. TRABALHISTAS / GPS RECEITA FEDERAL,SAIDA,1
